pid, cid, month, year, amountMNOK, amountMUSD, kBarrels,
1,DE,6,2017,1446.00,170.88,3701.14,
1,DE,7,2015,2020.00,248.77,4578.00,
1,DE,7,2016,873.00,103.05,2335.04,
1,DE,7,2017,1166.00,142.75,2995.22,
1,DE,8,2014,3118.00,502.58,5023.28,
1,DE,8,2015,1496.00,181.33,3968.78,
1,DE,8,2016,1741.00,209.43,4666.47,
1,DE,8,2017,1898.00,240.44,4814.49,
1,DE,9,2014,3011.00,475.00,4955.62,
1,DE,9,2015,2198.00,265.46,5735.93,
1,DE,9,2016,1080.00,131.50,2919.60,
1,DE,9,2017,1213.00,154.90,2925.35,
1,DE,10,2014,3101.00,473.94,5505.83,
1,DE,10,2015,1397.00,168.90,3596.75,
1,DE,10,2016,1723.00,211.05,4281.77,
1,DE,10,2017,2646.00,331.00,6026.92,
1,DE,11,2014,937.00,137.63,1787.66,
1,DE,11,2015,917.00,106.20,2463.37,
1,DE,11,2016,1100.00,130.84,2890.93,
1,DE,11,2017,2891.00,353.16,5892.94,
1,DE,12,2014,2450.00,337.23,5555.74,
1,DE,12,2015,680.00,78.21,2138.53,
1,DE,12,2016,1212.00,141.62,2691.41,
1,DE,12,2017,3657.00,439.12,7176.35,
1,DK,1,2015,597.00,77.64,1648.13,
1,DK,1,2016,522.00,59.02,1981.97,
1,DK,1,2017,1017.00,119.92,2237.64,
1,DK,2,2015,792.00,104.35,1904.50,
1,DK,2,2016,216.00,25.09,808.67,
1,DK,2,2017,964.00,115.75,2129.79,
1,DK,3,2015,897.00,112.34,2126.36,
1,DK,3,2016,272.00,32.02,857.60,
1,DK,3,2017,653.00,76.83,1509.48,
1,DK,4,2015,505.00,63.94,1111.23,
1,DK,4,2016,11.00,1.34,32.80,
1,DK,4,2017,597.00,69.52,1332.89,
1,DK,5,2015,962.00,127.35,2037.27,
1,DK,5,2016,755.00,91.65,1994.96,
1,DK,5,2017,712.00,83.54,1674.46,
1,DK,6,2015,615.00,78.81,1285.37,
1,DK,6,2016,555.00,66.75,1399.77,
1,DK,6,2017,1463.00,172.89,3744.65,
1,DK,7,2015,780.00,96.06,1767.74,
1,DK,7,2016,913.00,107.77,2442.03,
1,DK,7,2017,710.00,86.92,1823.85,
1,DK,8,2014,381.00,61.41,613.81,
1,DK,8,2015,574.00,69.58,1522.78,
1,DK,8,2016,787.00,94.67,2109.43,
1,DK,8,2017,1131.00,143.27,2868.91,
1,DK,9,2014,363.00,57.26,597.44,
1,DK,9,2015,444.00,53.62,1158.67,
1,DK,9,2016,635.00,77.32,1716.62,
1,DK,9,2017,934.00,119.27,2252.49,
1,DK,10,2014,691.00,105.61,1226.87,
1,DK,10,2015,347.00,41.95,893.39,
1,DK,10,2016,278.00,34.05,690.85,
1,DK,10,2017,323.00,40.41,735.71,
1,DK,11,2014,471.00,69.18,898.60,
1,DK,11,2015,306.00,35.44,822.02,
1,DK,11,2016,360.00,42.82,946.12,
1,DK,11,2017,824.00,100.66,1679.62,
1,DK,12,2014,229.00,31.52,519.29,
1,DK,12,2015,707.00,81.31,2223.44,
1,DK,12,2016,14.00,1.64,31.09,
1,DK,12,2017,1529.00,183.60,3000.45,
1,ES,1,2015,0.00,0.00,0.00,
1,ES,1,2016,253.00,28.61,960.61,
1,ES,1,2017,301.00,35.49,662.27,
1,ES,2,2015,247.00,32.54,593.96,
1,ES,2,2016,260.00,30.20,973.40,
1,ES,2,2017,1041.00,125.00,2299.91,
1,ES,3,2015,639.00,80.03,1514.77,
1,ES,3,2016,189.00,22.25,595.90,
1,ES,3,2017,885.00,104.13,2045.77,
1,ES,4,2015,309.00,39.12,679.94,
1,ES,4,2016,0.00,0.00,0.00,
1,ES,4,2017,1042.00,121.35,2326.42,
1,ES,5,2015,296.00,39.18,626.85,
1,ES,5,2016,597.00,72.47,1577.47,
1,ES,5,2017,277.00,32.50,651.44,
1,ES,6,2015,939.00,120.32,1962.53,
1,ES,6,2016,0.00,0.00,0.00,
1,ES,6,2017,480.00,56.72,1228.59,
1,ES,7,2015,260.00,32.02,589.25,
1,ES,7,2016,224.00,26.44,599.14,
